STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SPC_8_9_1IN,"8.9.1 Tourism as a proportion of total GDP, inward",WS,Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,17.7,,PERCENT,percent,G,Global,C,Country Data,UNESCAP,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,PW,Palau,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2005,,4.2,,PERCENT,percent,R,Regional,C,Country Data,UNESCAP,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,PW,Palau,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,0.77,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,TV,Tuvalu,F,Female,Y55T64,55-64,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,13.3,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2015-2016,,A,Normal value,Based on 19th ICLS standards,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_EARN,8.5.1 Average hourly earnings,CK,Cook Islands,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,4,Clerical Support Workers,_Z,Not applicable,_T,No breakdown by disability,2019,,9.16,,CUR_LCU,local currency,G,Global,_X,Not Available,,,U,Low reliability,Repository: ILO-STATISTICS - Micro data processing. Break in series: Methodology revised | NZD: New Zealand dollar.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_EARN,8.5.1 Average hourly earnings,MH,Marshall Islands,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,8,Plant and Machine Operators and Assemblers,_Z,Not applicable,_T,No breakdown by disability,2019,,3.81,,CUR_LCU,local currency,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing. USD: United States dollar.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2000,,3.5,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2001,,-0.2,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2002,,0.6,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2003,,1.9,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2004,,0.6,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2005,,-0.1,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2006,,-0.5,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2007,,0.5,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2008,,-0.7,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2009,,-4.6,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2010,,-2.9,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2011,,-3.4,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,-1.4,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,-0.2,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,0,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,1.3,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,1.8,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2017,,4,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,1.8,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,3,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,-7,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,1.9,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,4.2,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,NY_GDP_PCAP,8.1.1 GDP per capita growth,PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2023,,0.5,,PERCENT,percent,G,Global,CA,Country Adjusted,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,SB,Solomon Islands,M,Male,Y15T24,15-24,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,19.3,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2012-2013,,A,Normal value,Based on 19th ICLS standards,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_ISV_IFRM,8.3.1 Informal employment in non-agriculture,TV,Tuvalu,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,34.8,,PERCENT,percent,N,National,C,Country Data,"Tuvalu NSO, 2016 HIES.",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_ISV_IFRM,8.3.1 Informal employment in non-agriculture,TV,Tuvalu,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,17.59,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_NEET,"8.6.1 Youth not in education, employment or training",NR,Nauru,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,22.05,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_NEET,"8.6.1 Youth not in education, employment or training",NR,Nauru,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,33.37,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,FB_BNK_ACCSS,8.10.2 Account at a financial institution or mobile-money-service provider,WS,Samoa,M,Male,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,38,,PERCENT,percent,G,Global,C,Country Data,"Central Bank of Samoa, Financial Services Demand Side Survey Samoa, Apia: 2015",,,,Includes accounts at a formal financial institution only,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,WS,Samoa,F,Female,Y65T999,65+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,0,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2013-2014,,A,Normal value,Based on 19th ICLS standards,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,FJ,Fiji,_T,Total,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2003,,8.22,,PERCENT,percent,G,Global,_X,Not Available,,,,,Age coverage - maximum age: Less than or equal to 60 years old.,
